,lat,lon
0,77.1913099263,-46.669246646
1,76.4354939739,-59.0683139955
2,75.990270154,-39.0062015952
3,75.7189154824,-71.467381345
4,75.2949471459,-51.4052689447
5,75.0359348849,-83.8664486945
6,74.8826096813,-31.3431565444
7,74.6303878506,-63.8043362942
8,74.3821421828,-96.265516044
9,74.2350250386,-43.7422238939
10,73.9927586766,-76.2034036437
11,73.7540116015,-108.664583393
12,73.6123884965,-56.1412912434
13,73.3789584863,-88.6024709932
14,73.2404175912,-36.0791788431
15,73.148671754,-121.063650743
16,73.0119552033,-68.5403585929
17,72.786436553,-101.001538343
18,72.6524905005,-48.4782461926
19,72.4314470828,-80.9394259424
20,72.3001047391,-28.4161337923
21,72.213064854,-113.400605692
22,72.0832723236,-60.8773135421
23,71.8689487852,-93.3384932919
24,71.7415220937,-40.8152011418
25,71.6570461019,-125.799673042
26,71.5310317662,-73.2763808916
27,71.3228316799,-105.737560641
28,71.1989792253,-53.2142684913
29,70.9942874975,-85.6754482411
30,70.8724854278,-33.152156091
31,70.7916971723,-118.136627991
32,70.6711241031,-65.6133358408
33,70.4717603949,-98.0745155906
34,70.3530756721,-45.5512234405
35,70.2743336605,-130.53569534
36,70.1567832621,-78.0124031903
37,69.9623369131,-110.47358294
38,69.846532933,-57.95029079
39,69.7696833215,-142.93476269
40,69.6549304541,-90.4114705398
41,69.540794076,-37.8881783897
42,69.4650405651,-122.87265029
43,69.3519089717,-70.3493581395
44,69.1646620363,-102.810537889
45,69.0530818754,-50.2872457392
46,68.979009423,-135.271717639
47,68.8683656048,-82.748425489
48,68.7582718606,-30.2251333389
49,68.6851774094,-115.209605239
50,68.5759816195,-62.6863130887
51,68.3951576237,-95.1474928385
52,68.2873517439,-42.6242006884
53,68.2157632926,-127.608672588
54,68.1087982716,-75.0853804382
55,67.9316189766,-107.546560188
56,67.8259572629,-55.0232680379
57,67.7557809553,-140.007739938
58,67.6509087459,-87.4844477877
59,67.5465013658,-34.9611556376
60,67.4771514837,-119.945627538
61,67.3735045168,-67.4223353874
62,67.2017519003,-99.8835151373
63,67.0992858805,-47.3602229871
64,67.0312155391,-132.344694887
65,66.9294662697,-79.8214027369
66,66.7608202497,-112.282582487
67,66.6601853441,-59.7592903366
68,66.5933223888,-144.743762237
69,66.4933645446,-92.2204700865
70,66.3938060353,-39.6971779363
71,66.3276530527,-124.681649836
