,lat,lon
196,52.0494360761,-95.4114223154
197,51.8772366938,-75.3493099151
198,51.7699462818,-107.810489665
199,51.705694301,-55.2871975149
200,51.5988099333,-87.7483772647
201,51.4283160739,-67.6862648644
202,51.3220798135,-100.147444614
203,51.1526115776,-80.0853322139
204,51.0470093509,-112.546511964
205,50.9837634446,-60.0232198136
206,50.8785446033,-92.4843995634
207,50.7106867064,-72.4222871631
208,50.6060801539,-104.883466913
209,50.4391915338,-84.8213545126
210,50.3351843872,-117.282534262
211,50.272889272,-64.7592421123
212,50.1692447691,-97.2204218621
213,50.0038793591,-77.1583094618
214,49.9008143258,-109.619489212
215,49.8390808741,-57.0961970615
216,49.7363665338,-89.5573768113
217,49.5724741338,-69.495264411
218,49.4703203397,-101.956444161
219,49.3073157581,-81.8943317605
220,49.2057112721,-114.35551151
221,49.1448486926,-61.8322193602
222,49.0435768068,-94.29339911
223,48.8819692344,-74.2312867097
224,48.7812292259,-106.69246646
225,48.6204643062,-86.6303540592
226,48.460209791,-66.5682416589
227,48.3603072059,-99.0294214087
228,48.2008691956,-78.9673090084
229,48.1014720229,-111.428488758
230,48.0419258838,-58.9051966081
231,47.9428349517,-91.3663763579
232,47.7846832256,-71.3042639576
233,47.6860823591,-103.765443707
234,47.528707373,-83.7033313071
235,47.430587427,-116.164511057
236,47.3718031858,-63.6412189068
237,47.2739747579,-96.1023986566
238,47.1178242145,-76.0402862563
239,47.0204624765,-108.501466006
240,46.8650518013,-88.4393536058
241,46.613464061,-100.838420955
242,46.4592204199,-80.7763085551
243,46.3630397077,-113.237488305
244,46.2095016674,-93.1753759046
245,46.0563916246,-73.1132635043
246,45.9609131238,-105.574443254
247,45.8084887064,-85.5123308538
248,45.561684232,-97.9113982033
249,45.4103422767,-77.849285803
250,45.3159592082,-110.310465553
251,45.1652723035,-90.2483531525
252,44.9212521288,-102.647420502
253,44.7715999521,-82.5853081017
254,44.678264006,-115.046487851
255,44.5292383112,-94.9843754512
256,44.380592942,-74.9222630509
257,44.2878809894,-107.383442801
258,44.1398453791,-87.3213304004
259,43.9000755012,-99.7203977499
260,43.7530038235,-79.6582853496
261,43.6612673445,-112.119465099
262,43.5147797273,-92.0573526991
263,43.27749237,-104.456420049
264,43.13192847,-84.3943076483
265,42.8961228004,-96.7933749978
266,42.7514590065,-76.7312625975
267,42.6612154104,-109.192442347
268,42.5170973788,-89.130329947
269,42.2836114269,-101.529397297
270,42.1403571151,-81.4672848962
271,42.0509875732,-113.928464646
272,41.9082571675,-93.8663522457
273,41.7658451679,-73.8042398454
274,41.676998026,-106.265419595
275,41.5350970658,-86.2033071949
276,41.3051692343,-98.6023745444
277,41.16407753,-78.5402621441
278,41.0760493236,-111.001441894
279,40.9354487788,-90.9393294936
280,40.7076085586,-103.338396843
281,40.5677860581,-83.2762844429
282,40.4805452003,-115.737464193
283,40.3411950756,-95.6753517924
284,40.2021321998,-75.6132393921
285,40.1153626217,-108.074419142
286,39.9767610304,-88.0123067416
287,39.7521306681,-100.411374091
288,39.6142601752,-80.3492616908
289,39.5282304361,-112.810441441
290,39.3908040417,-92.7483290403
291,39.1680612468,-105.14739639
292,39.0313389216,-85.0852839895
293,38.8097271465,-97.484351339
294,38.6736928952,-77.4222389387
295,38.5888026566,-109.883418689
296,38.4531865618,-89.8213062882
297,38.2333520835,-102.220373638
298,38.0983992253,-82.1582612374
299,38.0141801493,-114.619440987
300,37.87963046,-94.5573285869
301,37.6615095718,-106.956395936
302,37.5275995105,-86.8942835361
303,37.3105065583,-99.2933508856
304,37.1772221191,-79.2312384853
305,37.0940386706,-111.692418235
306,36.9611346856,-91.6303058348
307,36.7456587729,-104.029373184
308,36.6133586098,-83.9672607841
309,36.5307861966,-116.428440534
310,36.3988533134,-96.3663281335
311,36.1849384426,-108.765395483
312,36.0535885996,-88.7032830828
313,35.8406110629,-101.102350432
314,35.6282038252,-113.501417782
315,35.4977719063,-93.4393053815
316,35.2862702329,-105.838372731
317,35.156389722,-85.7762603307
318,34.9457747027,-98.1753276802
319,34.735699315,-110.57439503
320,34.6066873652,-90.5122826294
321,34.3974691027,-102.911349979
322,34.1887725923,-115.310417328
323,34.0606004243,-95.2483049281
324,33.8527327806,-107.647372278
325,33.7250654616,-87.5852598773
326,33.5180098307,-99.9843272268
327,33.3114486199,-112.383394576
328,32.9788015227,-104.720349526
329,32.6474029195,-97.0573044747
330,32.4428661385,-109.456371824
331,32.3172278931,-89.3942594239
332,32.1134363491,-101.793326773
333,31.5825750262,-106.529349072
334,31.2561983412,-98.8663040214
335,30.7301536314,-103.60232632
336,30.2069645993,-108.338348619
337,29.3664496857,-105.411325867
