experiment,T [K],Bapp [T],M [Am2/kg],reg fit,timestamp
FC,10.01318,0,0.018851235,0.9812937,1/6/2020 9:12:37 PM
FC,15.59938,0,0.018603728,0.9808056,1/6/2020 9:14:00 PM
FC,20.52562,0,0.017050286,0.9810171,1/6/2020 9:15:00 PM
FC,25.61752,0,0.015727539,0.9810411,1/6/2020 9:16:01 PM
FC,30.54326,0,0.014616134,0.9807312,1/6/2020 9:17:00 PM
FC,35.56581,0,0.01338882,0.9810219,1/6/2020 9:18:02 PM
FC,40.5793,0,0.012136303,0.9808902,1/6/2020 9:19:03 PM
FC,46.51211,0,0.010765198,0.9809298,1/6/2020 9:20:15 PM
FC,50.55042,0,0.010082447,0.9807711,1/6/2020 9:21:03 PM
FC,55.64771,0,0.009520958,0.9807897,1/6/2020 9:22:05 PM
FC,60.49242,0,0.009182668,0.9803639,1/6/2020 9:23:03 PM
FC,65.48232,0,0.008880256,0.9806039,1/6/2020 9:24:03 PM
FC,70.56132,0,0.008583744,0.9809044,1/6/2020 9:25:03 PM
FC,75.47551,0,0.008292296,0.9808033,1/6/2020 9:26:02 PM
FC,80.56403,0,0.007964579,0.9807926,1/6/2020 9:27:02 PM
FC,85.5583,0,0.007579618,0.9811282,1/6/2020 9:28:02 PM
FC,90.50928,0,0.00714376,0.9806031,1/6/2020 9:29:02 PM
FC,95.53156,0,0.006618266,0.9808705,1/6/2020 9:30:02 PM
FC,100.6605,0,0.006022495,0.9809119,1/6/2020 9:31:02 PM
FC,106.6001,0,0.005272918,0.9804117,1/6/2020 9:32:14 PM
FC,110.5326,0,0.004788638,0.980249,1/6/2020 9:33:01 PM
FC,115.6716,0,0.00419987,0.9810484,1/6/2020 9:34:01 PM
FC,120.5949,0,0.003690781,0.980947,1/6/2020 9:35:00 PM
FC,125.5747,0,0.003290293,0.9810996,1/6/2020 9:36:00 PM
FC,130.5346,0,0.00299498,0.9820706,1/6/2020 9:37:00 PM
FC,135.6187,0,0.002775626,0.9813973,1/6/2020 9:38:00 PM
FC,141.5759,0,0.002559818,0.9815319,1/6/2020 9:39:12 PM
FC,145.5673,0,0.002442193,0.9816948,1/6/2020 9:40:00 PM
FC,150.5356,0,0.002323496,0.9812177,1/6/2020 9:40:59 PM
FC,155.5558,0,0.002219367,0.9812822,1/6/2020 9:41:59 PM
FC,160.6411,0,0.002134143,0.9825132,1/6/2020 9:43:00 PM
FC,165.5773,0,0.002070037,0.9816401,1/6/2020 9:43:59 PM
FC,170.5411,0,0.002012311,0.9818447,1/6/2020 9:44:59 PM
FC,175.5788,0,0.001964508,0.9815397,1/6/2020 9:45:59 PM
FC,180.529,0,0.001924749,0.9811782,1/6/2020 9:46:59 PM
FC,185.5589,0,0.001886856,0.9818393,1/6/2020 9:47:59 PM
FC,190.5625,0,0.001850421,0.9824648,1/6/2020 9:48:59 PM
FC,195.6148,0,0.001823585,0.9819034,1/6/2020 9:49:59 PM
FC,200.5496,0,0.001795339,0.9819995,1/6/2020 9:50:58 PM
FC,205.4866,0,0.001770227,0.9826539,1/6/2020 9:51:58 PM
FC,210.4723,0,0.001746832,0.9816203,1/6/2020 9:52:58 PM
FC,215.4731,0,0.001725021,0.981507,1/6/2020 9:53:58 PM
FC,220.5656,0,0.001702515,0.9820809,1/6/2020 9:54:59 PM
FC,225.5222,0,0.001685269,0.9820637,1/6/2020 9:55:58 PM
FC,230.4682,0,0.001666775,0.982134,1/6/2020 9:56:57 PM
FC,235.5446,0,0.001649362,0.9826429,1/6/2020 9:57:58 PM
FC,240.5041,0,0.001634084,0.9820978,1/6/2020 9:58:57 PM
FC,245.4663,0,0.001619673,0.9817222,1/6/2020 9:59:57 PM
FC,250.5905,0,0.001605197,0.9825189,1/6/2020 10:00:59 PM
FC,255.5125,0,0.001593003,0.9823608,1/6/2020 10:01:58 PM
FC,260.4808,0,0.001579731,0.9824743,1/6/2020 10:02:57 PM
FC,265.6524,0,0.001565629,0.982471,1/6/2020 10:03:59 PM
FC,270.4836,0,0.001554182,0.9823884,1/6/2020 10:04:57 PM
FC,275.5649,0,0.001542229,0.981694,1/6/2020 10:05:58 PM
FC,280.647,0,0.001530087,0.9824116,1/6/2020 10:06:58 PM
FC,285.5625,0,0.001519124,0.9822901,1/6/2020 10:07:58 PM
FC,290.499,0,0.001506749,0.9826428,1/6/2020 10:08:58 PM
FC,295.652,0,0.001496201,0.9828435,1/6/2020 10:09:58 PM
FC,300.0265,0,0.001479301,0.9826507,1/6/2020 10:15:31 PM
ZFC,9.991568,0,0.019172847,0.9818217,1/6/2020 11:39:18 PM
ZFC,15.57353,0,0.018777994,0.9813871,1/6/2020 11:40:40 PM
ZFC,20.53902,0,0.017571582,0.9814526,1/6/2020 11:41:40 PM
ZFC,25.59192,0,0.016669206,0.9816182,1/6/2020 11:42:42 PM
ZFC,30.5229,0,0.015882274,0.9814772,1/6/2020 11:43:41 PM
ZFC,35.58424,0,0.014820926,0.9815037,1/6/2020 11:44:43 PM
ZFC,40.59194,0,0.013236201,0.9816284,1/6/2020 11:45:44 PM
ZFC,45.58417,0,0.011405423,0.9806328,1/6/2020 11:46:45 PM
ZFC,51.68184,0,0.009921194,0.9810225,1/6/2020 11:47:58 PM
ZFC,55.53374,0,0.009465371,0.981108,1/6/2020 11:48:44 PM
ZFC,60.60981,0,0.0091216,0.9805413,1/6/2020 11:49:45 PM
ZFC,65.50082,0,0.00886614,0.9811148,1/6/2020 11:50:44 PM
ZFC,70.62904,0,0.008613293,0.9813082,1/6/2020 11:51:45 PM
