experiment,T [K],Bapp [T],M [Am2/kg],reg fit,timestamp
FC,9.994304,0,0.01552918,0.9848939,1/8/2020 9:39:53 PM
FC,15.50026,0,0.014205295,0.9844572,1/8/2020 9:41:15 PM
FC,20.5769,0,0.013058355,0.9844383,1/8/2020 9:42:16 PM
FC,25.5975,0,0.012188372,0.9844448,1/8/2020 9:43:18 PM
FC,30.62095,0,0.01141785,0.9844834,1/8/2020 9:44:18 PM
FC,35.54022,0,0.010622937,0.9842999,1/8/2020 9:45:18 PM
FC,40.53019,0,0.00987807,0.9843884,1/8/2020 9:46:20 PM
FC,45.54829,0,0.009306706,0.9844852,1/8/2020 9:47:20 PM
FC,50.53382,0,0.008943392,0.984615,1/8/2020 9:48:20 PM
FC,55.50077,0,0.008635647,0.9845995,1/8/2020 9:49:21 PM
FC,60.46664,0,0.008334885,0.9844907,1/8/2020 9:50:19 PM
FC,65.56294,0,0.008030555,0.984429,1/8/2020 9:51:19 PM
FC,70.62476,0,0.007736963,0.9843842,1/8/2020 9:52:19 PM
FC,75.4902,0,0.007442268,0.9844842,1/8/2020 9:53:23 PM
FC,80.68351,0,0.007156475,0.9845191,1/8/2020 9:54:21 PM
FC,85.534,0,0.006838071,0.9846553,1/8/2020 9:55:16 PM
FC,90.44417,0,0.006510867,0.9845947,1/8/2020 9:56:22 PM
FC,95.56567,0,0.006180429,0.9844953,1/8/2020 9:57:24 PM
FC,100.6581,0,0.005815522,0.9846482,1/8/2020 9:58:23 PM
FC,105.4733,0,0.005440654,0.9848378,1/8/2020 9:59:20 PM
FC,110.5795,0,0.005029208,0.9847333,1/8/2020 10:00:20 PM
FC,115.6087,0,0.004605092,0.9846013,1/8/2020 10:01:18 PM
FC,120.4055,0,0.004199082,0.9848423,1/8/2020 10:02:16 PM
FC,125.5442,0,0.003876367,0.9850057,1/8/2020 10:03:17 PM
FC,131.7128,0,0.003566635,0.9849437,1/8/2020 10:04:31 PM
FC,135.5936,0,0.003399857,0.9847907,1/8/2020 10:05:17 PM
FC,140.6617,0,0.003203624,0.9850228,1/8/2020 10:06:16 PM
FC,145.5287,0,0.003020323,0.9849477,1/8/2020 10:07:16 PM
FC,150.4723,0,0.002857561,0.9848951,1/8/2020 10:08:14 PM
FC,155.5616,0,0.002712474,0.9849515,1/8/2020 10:09:16 PM
FC,160.7314,0,0.002596618,0.9851309,1/8/2020 10:10:14 PM
FC,165.5742,0,0.002507421,0.9851022,1/8/2020 10:11:16 PM
FC,170.5424,0,0.002439403,0.9851849,1/8/2020 10:12:16 PM
FC,175.7764,0,0.002387781,0.9853119,1/8/2020 10:13:17 PM
FC,180.5024,0,0.002348424,0.9852605,1/8/2020 10:14:12 PM
FC,185.5623,0,0.002313968,0.9851683,1/8/2020 10:15:15 PM
FC,190.5595,0,0.002282656,0.9854142,1/8/2020 10:16:17 PM
FC,195.4939,0,0.002254365,0.9854985,1/8/2020 10:17:15 PM
FC,200.5383,0,0.002227812,0.9854503,1/8/2020 10:18:15 PM
FC,205.4929,0,0.002203789,0.9855199,1/8/2020 10:19:14 PM
FC,210.4608,0,0.002180705,0.9855812,1/8/2020 10:20:13 PM
FC,215.5735,0,0.002158283,0.9852702,1/8/2020 10:21:14 PM
