experiment,T [K],Bapp [T],M [Am2/kg],reg fit,timestamp
FC,10.00073,0,0.009646064,0.9777448,1/7/2020 8:02:45 PM
FC,15.58342,0,0.009604764,0.9777653,1/7/2020 8:04:08 PM
FC,20.51238,0,0.00950087,0.977478,1/7/2020 8:05:07 PM
FC,25.60346,0,0.009410583,0.9777943,1/7/2020 8:06:09 PM
FC,30.5288,0,0.009359984,0.9778455,1/7/2020 8:07:09 PM
FC,35.5835,0,0.009308221,0.9776058,1/7/2020 8:08:11 PM
FC,40.59579,0,0.009262291,0.977789,1/7/2020 8:09:11 PM
FC,45.51352,0,0.00922915,0.9772745,1/7/2020 8:10:10 PM
FC,50.52918,0,0.009190811,0.9772577,1/7/2020 8:11:12 PM
FC,55.58395,0,0.009147167,0.9778048,1/7/2020 8:12:12 PM
FC,60.57373,0,0.009117057,0.9774484,1/7/2020 8:13:12 PM
FC,65.59447,0,0.009081804,0.97752,1/7/2020 8:14:12 PM
FC,70.54379,0,0.009038102,0.9776088,1/7/2020 8:15:12 PM
FC,75.5953,0,0.009007431,0.9775177,1/7/2020 8:16:12 PM
FC,80.50378,0,0.008970832,0.9773163,1/7/2020 8:17:11 PM
FC,85.58397,0,0.008922723,0.9776982,1/7/2020 8:18:11 PM
FC,90.50385,0,0.008878249,0.9775998,1/7/2020 8:19:09 PM
FC,95.54358,0,0.008821897,0.9775295,1/7/2020 8:20:11 PM
FC,100.6048,0,0.00875054,0.9776296,1/7/2020 8:21:10 PM
FC,105.5019,0,0.008668219,0.9774196,1/7/2020 8:22:09 PM
FC,110.5007,0,0.008545213,0.9775991,1/7/2020 8:23:09 PM
FC,115.6004,0,0.008346166,0.9773735,1/7/2020 8:24:10 PM
FC,120.5073,0,0.007917657,0.9774061,1/7/2020 8:25:09 PM
FC,125.5266,0,0.004236239,0.974583,1/7/2020 8:26:08 PM
FC,131.7212,0,0.002207704,0.9769714,1/7/2020 8:27:22 PM
FC,135.5234,0,0.002107556,0.9772135,1/7/2020 8:28:08 PM
FC,140.5231,0,0.002081329,0.9771003,1/7/2020 8:29:08 PM
FC,145.5826,0,0.002058226,0.9777705,1/7/2020 8:30:08 PM
FC,150.6514,0,0.002049442,0.9775422,1/7/2020 8:31:09 PM
FC,155.4987,0,0.002037311,0.9779673,1/7/2020 8:32:08 PM
FC,160.5403,0,0.002025007,0.978148,1/7/2020 8:33:08 PM
FC,165.6129,0,0.002016964,0.9779625,1/7/2020 8:34:08 PM
FC,170.5683,0,0.00200905,0.9773963,1/7/2020 8:35:07 PM
FC,175.6097,0,0.001999236,0.9782804,1/7/2020 8:36:08 PM
FC,180.4789,0,0.001995372,0.9771713,1/7/2020 8:37:07 PM
FC,185.5593,0,0.001986457,0.977497,1/7/2020 8:38:08 PM
FC,190.5989,0,0.001979176,0.977948,1/7/2020 8:39:08 PM
FC,195.486,0,0.001974441,0.9773887,1/7/2020 8:40:06 PM
FC,200.6205,0,0.001967044,0.9774978,1/7/2020 8:41:08 PM
FC,205.5646,0,0.001955281,0.9782638,1/7/2020 8:42:07 PM
FC,210.5388,0,0.001955349,0.9768075,1/7/2020 8:43:07 PM
FC,215.5426,0,0.001948426,0.9775144,1/7/2020 8:44:07 PM
FC,220.5572,0,0.001940486,0.9782709,1/7/2020 8:45:07 PM
FC,225.5516,0,0.001936602,0.9777018,1/7/2020 8:46:06 PM
FC,230.5386,0,0.001930569,0.9777678,1/7/2020 8:47:07 PM
FC,235.623,0,0.001920995,0.9778045,1/7/2020 8:48:08 PM
FC,240.4608,0,0.001919364,0.9766433,1/7/2020 8:49:06 PM
FC,245.4613,0,0.001912239,0.9774466,1/7/2020 8:50:06 PM
FC,250.7562,0,0.001901337,0.9784412,1/7/2020 8:51:08 PM
FC,255.5502,0,0.001900579,0.9772328,1/7/2020 8:52:07 PM
FC,260.4975,0,0.001893424,0.9774917,1/7/2020 8:53:06 PM
FC,265.6697,0,0.00188348,0.9780169,1/7/2020 8:54:08 PM
FC,270.5018,0,0.001880615,0.9771191,1/7/2020 8:55:06 PM
FC,275.5899,0,0.001873713,0.9776289,1/7/2020 8:56:07 PM
FC,280.6077,0,0.001865934,0.9780589,1/7/2020 8:57:07 PM
FC,285.495,0,0.00186041,0.9773365,1/7/2020 8:58:06 PM
FC,290.569,0,0.001852245,0.9778841,1/7/2020 8:59:07 PM
FC,295.6014,0,0.001845101,0.9782175,1/7/2020 9:00:07 PM
FC,300.0265,0,0.001832578,0.9773711,1/7/2020 9:05:39 PM
ZFC,10.00925,0,0.007253368,0.9783339,1/7/2020 10:29:30 PM
ZFC,15.56106,0,0.007215626,0.9779155,1/7/2020 10:30:51 PM
